"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","url","categoryName"
"Ac Cool N Cool Engineering Aircond service","4.7","708","91A, Jalan Pekeliling Lama","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","https://www.accoolncool.com/","+60 16-382 4522","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ac%20Cool%20N%20Cool%20Engineering%20Aircond%20service&query_place_id=ChIJc9_4tcpJzDERbuDnGK801aI","Air conditioning contractor"
"Rehan Enterprise","5","85","131, Jln Sultan Azlan Shah, 51200 Wailayah Persekutuan Kuala Lumpur Wailayah Persekutuan","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","https://aircondserviceharini.com/","+60 13-452 7786","Air conditioning repair service","Air conditioning contractor","Auto air conditioning service",,,,,,,"https://www.google.com/maps/search/?api=1&query=Rehan%20Enterprise&query_place_id=ChIJXxD40g7QDaERgLWd5darjuE","Air conditioning repair service"
"Jatt Moonstar Electronic","4.2","52","299, Jalan Pahang","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","http://www.klairconservice.com/","+60 14-315 9050","Air conditioning repair service","Air conditioning contractor","Electronics repair shop","Washer & dryer repair service",,,,,,"https://www.google.com/maps/search/?api=1&query=Jatt%20Moonstar%20Electronic&query_place_id=ChIJ8xhU4gNIzDERPUrgUyH-gM0","Air conditioning repair service"
"FAST AIRCOND SERVICES & ENGINEERING","4.8","292","14, Jalan Batu Bata","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","https://www.fastaircondservices.com/","+60 17-208 1505","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=FAST%20AIRCOND%20SERVICES%20%26%20ENGINEERING&query_place_id=ChIJxdcFXoJJzDERWOGrXWZwIE0","Air conditioning contractor"
"Up Your Home Services Sdn Bhd","4.5","107","Level 7, Wisma HRIH Lotus Lot, 442, Jalan Pahang","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","http://www.upyourhomeservices.com.my/","+60 14-630 0060","Air conditioning contractor","Property maintenance","Air conditioning system supplier","Electrician","Plumber","Security system installation service",,,,"https://www.google.com/maps/search/?api=1&query=Up%20Your%20Home%20Services%20Sdn%20Bhd&query_place_id=ChIJsbsQkPFIzDER0TyO6QoAQtw","Air conditioning contractor"
"Aircond Doctor - Aircond Service Specialist in Klang Valley- Service Within 24 Hours Guranteed","4.9","78","Jalan 1/64d","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","https://www.aircondservis.my/","+60 11-8888 9606","Air conditioning repair service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Aircond%20Doctor%20-%20Aircond%20Service%20Specialist%20in%20Klang%20Valley-%20Service%20Within%2024%20Hours%20Guranteed&query_place_id=ChIJg6Mqt_h6EWoRiqHrHaAqaF4","Air conditioning repair service"
"SSNOW Air-conditioner Services","4.6","49","9, Jalan Haji Yahya Sheikh Ahmad","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","https://ssnowac.com/","+60 19-658 3805","HVAC contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SSNOW%20Air-conditioner%20Services&query_place_id=ChIJKdiqqsvYLioR4U92GH2dsQI","HVAC contractor"
"Salaar Aircond and electrical service's","4.8","16","95, Jalan Union","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY",,"+60 18-224 9576","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Salaar%20Aircond%20and%20electrical%20service's&query_place_id=ChIJY0pNkhBJzDER3DGgmsvwpkg","Air conditioning contractor"
"Encik Beku Aircond Service - Harga Mesti Jujur, Sampai Dalam 24 Jam","4.9","1295","S-U1, Jalan 1/64d","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","https://www.serviceaircond.my/","+60 11-2866 5698","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Encik%20Beku%20Aircond%20Service%20-%20Harga%20Mesti%20Jujur%2C%20Sampai%20Dalam%2024%20Jam&query_place_id=ChIJla0_qaFJzDERnAZCc7xI2JU","Air conditioning contractor"
"Kingway Aircond Services","5","6","716, Jln Sentul","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY",,"+60 11-1538 3443","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kingway%20Aircond%20Services&query_place_id=ChIJZ6QPHwBJzDERZNyZge57mI8","Air conditioning contractor"
"JSD Brothers Aircond-Aircon Services","3.8","27","Federal Terriotory of Kuala","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY",,"+60 18-268 0604","Air conditioning repair service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=JSD%20Brothers%20Aircond-Aircon%20Services&query_place_id=ChIJ9Zj7K4z7jScRhzWVSoa_-AA","Air conditioning repair service"
"My AC Cool | Digital Aircond Services in KL and Selangor","4.9","213","A2, Soho Suites KLCC, 20, Jalan Perak","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY","https://www.myaccool.com/","+60 18-400 6624","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=My%20AC%20Cool%20%7C%20Digital%20Aircond%20Services%20in%20KL%20and%20Selangor&query_place_id=ChIJQeWW5h1JzDERRr-1xmD0K1w","Air conditioning contractor"
"AM Aircon & Electrical Engineering","5","19","1 2 3 Megah Court Apt, Jalan Ipoh Kolam Air","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY",,"+60 11-1653 3423","Air compressor repair service","Air conditioning contractor","Electrical installation service","Electrician",,,,,,"https://www.google.com/maps/search/?api=1&query=AM%20Aircon%20%26%20Electrical%20Engineering&query_place_id=ChIJq6qqGhhIzDEREYo49xhVJlY","Air compressor repair service"
"IMRAZ AIRCOND SOLUTION'S","5","25","D-4, Putra majestik, Jalan Kasipillay","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY",,"+60 10-212 9636","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=IMRAZ%20AIRCOND%20SOLUTION'S&query_place_id=ChIJfUqdgUVHzDERZVJ2xfSOGwM","Air conditioning contractor"
"KR Pro Aircon Service","5","5",,,,,"https://www.krairconservice.com/","+60 11-2122 8492","Air conditioning repair service","Service establishment",,,,,,,,"https://www.google.com/maps/search/?api=1&query=KR%20Pro%20Aircon%20Service&query_place_id=ChIJx5BaX61dP2oRJjw8Qs52BYc","Air conditioning repair service"
"Stone Cool Car Cooler","4.5","21","No. 35, Jalan Haji Salleh","Kuala Lumpur","Federal Territory of Kuala Lumpur","MY",,"+60 12-686 4688","Auto air conditioning service","Air conditioning system supplier","Car battery store",,,,,,,"https://www.google.com/maps/search/?api=1&query=Stone%20Cool%20Car%20Cooler&query_place_id=ChIJdYv-Yw5IzDERsCfLs2AW9-M","Auto air conditioning service"
