"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"AC2U PROFESSIONAL AIRCON SERVICE PROVIDER","4.7","97","3, Lorong Perwira 3","Simpang Ampat","Penang","MY","http://www.ac2u.com.my/","+60 4-255 0101","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AC2U%20PROFESSIONAL%20AIRCON%20SERVICE%20PROVIDER&query_place_id=ChIJW5IUmy23SjARhsRfBPFdc5E","Air conditioning repair service"
"Barokah Service Aircond Penang","4.7","592","175-2, 175-2, Jln Perak","George Town","Penang","MY","https://barokahaircond.com/","+60 14-338 4017","Air conditioning repair service","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Barokah%20Service%20Aircond%20Penang&query_place_id=ChIJ1ypOYcXDSjARt2ymBnwh6Ds","Air conditioning repair service"
"Ban Leng Air Conditioning Engineering Sdn Bhd - Air Cond & Spare Part & Services In Penang","3.8","100","9, Lebuh Nangka 2","Bukit Mertajam","Penang","MY","http://store.ban-leng.com/","+60 4-539 7966","Air conditioning repair service","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ban%20Leng%20Air%20Conditioning%20Engineering%20Sdn%20Bhd%20-%20Air%20Cond%20%26%20Spare%20Part%20%26%20Services%20In%20Penang&query_place_id=ChIJVf9R-J7ISjARvdHOpCP-9vw","Air conditioning repair service"
"Andy Aircond","4.8","186","12D-15-20 ONE FORESTA LENGKOK KELICAP SUNGAI ARA 11900 BAYAN LEPAS","Sungai ara","Penang","MY",,"+60 17-566 4689","Air conditioning contractor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Andy%20Aircond&query_place_id=ChIJq8uX3lmVSjARaa9lOWJfR_M","Air conditioning contractor"
"Penang Aircon Service- G Track Aircon Service & Repair","3.3","17","1102-O, Jln Paya Terubung","George Town","Penang","MY","https://sites.google.com/view/gtrackpenangaircon/home","+60 17-596 4590","Air conditioning repair service","Air conditioning contractor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Penang%20Aircon%20Service-%20G%20Track%20Aircon%20Service%20%26%20Repair&query_place_id=ChIJmX6d0XvDSjARFdj-8zdNT8E","Air conditioning repair service"
"TEE CAR AIR COND SERVICE CENTRE","4.8","91","794, Jalan Tok Kangar","Simpang Ampat","Penang","MY",,"+60 12-899 1304","Auto repair shop",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=TEE%20CAR%20AIR%20COND%20SERVICE%20CENTRE&query_place_id=ChIJQ6Nl-_nHSjAR-F-OUp5vzTI","Auto repair shop"
"Hooi Air Conditioning & Elec Service","4.9","50","13, Lebuh Cintra","George Town","Penang","MY","https://wa.me/60123787106","+60 12-378 7106","Air conditioning repair service","Air conditioning contractor","Air conditioning store",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hooi%20Air%20Conditioning%20%26%20Elec%20Service&query_place_id=ChIJJTYrx5DDSjARB3HqRw1bZDc","Air conditioning repair service"
"BRO Air Cond Services & Repair Seluruh Pulau Penang","4.3","23","lintang bayan 10 Bayan lepas","Penang","Penang","MY",,"+60 16-601 7131","Air conditioning repair service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BRO%20Air%20Cond%20Services%20%26%20Repair%20Seluruh%20Pulau%20Penang&query_place_id=ChIJ4eIwWpm_SjARQ_I9Hq7a-7Y","Air conditioning repair service"
"ARUS electrical aircond penang","4.7","24",,,,,"https://www.recommend.my/businesses/ar-fifteen-enterprise-210629","+60 17-917 7511","Air conditioning repair service","Auto electrical service","Service establishment",,,,,,,,"https://www.google.com/maps/search/?api=1&query=ARUS%20electrical%20aircond%20penang&query_place_id=ChIJXVDX3W1IRq0RO1PYp6Qsmh4","Air conditioning repair service"
"Etuck Aircond Service & Electrical Repair Centre","4.9","88","2, Jln Kulim","Bukit Mertajam","Penang","MY",,"+60 12-428 2291","Air conditioning repair service","Refrigerator repair service",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Etuck%20Aircond%20Service%20%26%20Electrical%20Repair%20Centre&query_place_id=ChIJn-eHntbJSjARhtLO7qBOx-E","Air conditioning repair service"
